Job ID,Client ID,Client Email,Client First Name,Client Last Name,Cleaner ID,Cleaner Email,Cleaner First Name,Cleaner Last Name,Property ID,Property Type,Property Size (sqft),Latitude,Longitude,Address,City,Scheduled Date,Start Time,End Time,Client Budget,Services Description,Winning Bid Amount,Bid Estimated Duration (hrs),Total Bids Received,Job Status,Review Overall Rating,Review Comment,Job Created At,Job Completed At
124,1480,client_160@synthetic.test,Client160,Test,1210,cleaner_90@synthetic.test,Cleaner90,TestPremium,440,apartment,1313,38.06454704,23.59289315,"79 Synthetic St, Athens",Athens,2025-06-15,14:00,,177.0,Need thorough cleaning of 1313sqft apartment,115.0,6.0,5,completed,9,Excellent service! Very thorough and professional.,2025-11-08 17:27:07,2025-11-08 17:27:07
125,1386,client_66@synthetic.test,Client66,Test,1274,cleaner_154@synthetic.test,Cleaner154,TestAverage,313,house,2412,37.97729602,23.73973038,"129 Synthetic St, Athens",Athens,2025-07-10,09:00,,200.0,Deep cleaning required for house in Athens,185.0,7.0,4,completed,7,"Quality work, would use again.",2025-11-08 17:27:07,2025-11-08 17:27:07
126,1677,client_357@synthetic.test,Client357,Test,1139,cleaner_19@synthetic.test,Cleaner19,TestAverage,699,house,2286,37.97625624,23.65140401,"72 Synthetic St, Athens",Athens,2025-03-10,10:00,,171.0,Deep cleaning required for house in Athens,225.0,7.0,5,completed,8,"Good job overall, minor issues but satisfied.",2025-11-08 17:27:07,2025-11-08 17:27:07
127,1411,client_91@synthetic.test,Client91,Test,1233,cleaner_113@synthetic.test,Cleaner113,TestBudget,348,apartment,977,37.84868962,23.73799123,"48 Synthetic St, Athens",Athens,2025-11-08,08:00,,129.0,Regular cleaning service needed for 977sqft space,40.0,5.0,5,completed,6,"Average cleaning, met basic expectations.",2025-11-08 17:27:07,2025-11-08 17:27:07
128,1530,client_210@synthetic.test,Client210,Test,1154,cleaner_34@synthetic.test,Cleaner34,TestExperienced,507,apartment,631,38.12727004,23.74794487,"181 Synthetic St, Athens",Athens,2025-09-10,15:00,,191.0,Need thorough cleaning of 631sqft apartment,30.0,1.0,6,completed,7,"Good job overall, minor issues but satisfied.",2025-11-08 17:27:07,2025-11-08 17:27:07
129,1631,client_311@synthetic.test,Client311,Test,1172,cleaner_52@synthetic.test,Cleaner52,TestPremium,640,apartment,559,37.87286548,23.60108149,"177 Synthetic St, Athens",Athens,2025-08-01,13:00,,79.0,Need thorough cleaning of 559sqft apartment,40.0,3.0,8,completed,9,Excellent service! Very thorough and professional.,2025-11-08 17:27:07,2025-11-08 17:27:07
130,1645,client_325@synthetic.test,Client325,Test,1274,cleaner_154@synthetic.test,Cleaner154,TestAverage,658,office,3813,38.11676752,23.68432919,"171 Synthetic St, Athens",Athens,2025-10-30,08:00,,191.0,Regular cleaning service needed for 3813sqft space,230.0,5.0,8,completed,7,Professional and on time. Recommended.,2025-11-08 17:27:07,2025-11-08 17:27:07
131,1360,client_40@synthetic.test,Client40,Test,1122,cleaner_2@synthetic.test,Cleaner2,TestPremium,282,house,2473,37.97694237,23.64725387,"22 Synthetic St, Athens",Athens,2024-12-21,14:00,,154.0,Need thorough cleaning of 2473sqft house,490.0,5.0,3,completed,10,"Perfect cleaning, exceeded expectations.",2025-11-08 17:27:07,2025-11-08 17:27:07
132,1764,client_444@synthetic.test,Client444,Test,1282,cleaner_162@synthetic.test,Cleaner162,TestAverage,817,house,2499,38.0923923,23.58447897,"112 Synthetic St, Athens",Athens,2025-03-31,11:00,,30.0,Deep cleaning required for house in Athens,265.0,5.0,5,completed,7,"Good job overall, minor issues but satisfied.",2025-11-08 17:27:07,2025-11-08 17:27:07
133,1660,client_340@synthetic.test,Client340,Test,1308,cleaner_188@synthetic.test,Cleaner188,TestExperienced,679,apartment,497,38.08591415,23.73825021,"74 Synthetic St, Athens",Athens,2025-08-08,15:00,,126.0,Need thorough cleaning of 497sqft apartment,20.0,1.0,8,completed,9,Excellent service! Very thorough and professional.,2025-11-08 17:27:07,2025-11-08 17:27:07
134,1737,client_417@synthetic.test,Client417,Test,1306,cleaner_186@synthetic.test,Cleaner186,TestExperienced,782,house,921,38.10920602,23.84691958,"133 Synthetic St, Athens",Athens,2024-11-19,16:00,,130.0,Deep cleaning required for house in Athens,65.0,5.0,7,completed,8,Professional and on time. Recommended.,2025-11-08 17:27:07,2025-11-08 17:27:07
135,1570,client_250@synthetic.test,Client250,Test,1145,cleaner_25@synthetic.test,Cleaner25,TestBudget,558,house,1962,37.85801678,23.5796672,"23 Synthetic St, Athens",Athens,2024-11-19,15:00,,128.0,Deep cleaning required for house in Athens,170.0,6.0,8,completed,5,"Average cleaning, met basic expectations.",2025-11-08 17:27:07,2025-11-08 17:27:07
136,1453,client_133@synthetic.test,Client133,Test,1188,cleaner_68@synthetic.test,Cleaner68,TestPremium,402,apartment,1364,37.93678141,23.81878423,"79 Synthetic St, Athens",Athens,2025-10-06,10:00,,66.0,Deep cleaning required for apartment in Athens,145.0,5.0,4,completed,10,"Perfect cleaning, exceeded expectations.",2025-11-08 17:27:07,2025-11-08 17:27:07
137,1602,client_282@synthetic.test,Client282,Test,1271,cleaner_151@synthetic.test,Cleaner151,TestBudget,600,house,1864,38.0039755,23.84698458,"79 Synthetic St, Athens",Athens,2025-09-15,09:00,,166.0,Need thorough cleaning of 1864sqft house,125.0,8.0,7,completed,7,"Quality work, would use again.",2025-11-08 17:27:07,2025-11-08 17:27:07
138,1630,client_310@synthetic.test,Client310,Test,1206,cleaner_86@synthetic.test,Cleaner86,TestAverage,639,office,2356,38.07817223,23.64420735,"178 Synthetic St, Athens",Athens,2025-02-02,16:00,,120.0,Need thorough cleaning of 2356sqft office,165.0,6.0,6,completed,7,"Good job overall, minor issues but satisfied.",2025-11-08 17:27:07,2025-11-08 17:27:07
139,1501,client_181@synthetic.test,Client181,Test,1227,cleaner_107@synthetic.test,Cleaner107,TestBudget,466,apartment,842,37.98291633,23.64879267,"116 Synthetic St, Athens",Athens,2024-11-10,13:00,,40.0,Regular cleaning service needed for 842sqft space,30.0,3.0,6,completed,7,"Good job overall, minor issues but satisfied.",2025-11-08 17:27:07,2025-11-08 17:27:07
140,1416,client_96@synthetic.test,Client96,Test,1143,cleaner_23@synthetic.test,Cleaner23,TestBudget,354,apartment,826,37.89355396,23.79809683,"25 Synthetic St, Athens",Athens,2025-03-05,09:00,,139.0,Need thorough cleaning of 826sqft apartment,30.0,5.0,7,completed,6,Acceptable service but room for improvement.,2025-11-08 17:27:07,2025-11-08 17:27:07
141,1691,client_371@synthetic.test,Client371,Test,1208,cleaner_88@synthetic.test,Cleaner88,TestExperienced,718,house,1397,38.05181242,23.63430895,"47 Synthetic St, Athens",Athens,2025-02-19,16:00,,170.0,Regular cleaning service needed for 1397sqft space,135.0,3.0,5,completed,9,"Perfect cleaning, exceeded expectations.",2025-11-08 17:27:07,2025-11-08 17:27:07
143,1618,client_298@synthetic.test,Client298,Test,1268,cleaner_148@synthetic.test,Cleaner148,TestAverage,623,house,2029,37.90115607,23.81486586,"40 Synthetic St, Athens",Athens,2025-10-26,14:00,,86.0,Regular cleaning service needed for 2029sqft space,170.0,6.0,5,completed,6,Acceptable service but room for improvement.,2025-11-08 17:27:07,2025-11-08 17:27:07
144,1725,client_405@synthetic.test,Client405,Test,1198,cleaner_78@synthetic.test,Cleaner78,TestAverage,766,apartment,1297,37.88220003,23.79536274,"121 Synthetic St, Athens",Athens,2025-01-01,16:00,,174.0,Regular cleaning service needed for 1297sqft space,65.0,3.0,4,completed,6,Acceptable service but room for improvement.,2025-11-08 17:27:07,2025-11-08 17:27:07
145,1627,client_307@synthetic.test,Client307,Test,1187,cleaner_67@synthetic.test,Cleaner67,TestPremium,634,house,1692,37.95739835,23.85377221,"42 Synthetic St, Athens",Athens,2025-10-21,14:00,,157.0,Need thorough cleaning of 1692sqft house,315.0,8.0,5,completed,10,Excellent service! Very thorough and professional.,2025-11-08 17:27:07,2025-11-08 17:27:07
146,1810,client_490@synthetic.test,Client490,Test,1311,cleaner_191@synthetic.test,Cleaner191,TestAverage,886,office,799,38.12052557,23.71962745,"149 Synthetic St, Athens",Athens,2025-01-03,08:00,,92.0,Deep cleaning required for office in Athens,25.0,4.0,4,completed,6,Got the job done but not exceptional.,2025-11-08 17:27:07,2025-11-08 17:27:07
147,1629,client_309@synthetic.test,Client309,Test,1310,cleaner_190@synthetic.test,Cleaner190,TestBudget,636,office,1454,38.06069202,23.61169002,"118 Synthetic St, Athens",Athens,2025-07-23,10:00,,138.0,Need thorough cleaning of 1454sqft office,45.0,3.0,5,completed,5,Got the job done but not exceptional.,2025-11-08 17:27:07,2025-11-08 17:27:07
148,1810,client_490@synthetic.test,Client490,Test,1145,cleaner_25@synthetic.test,Cleaner25,TestBudget,886,office,799,38.12052557,23.71962745,"149 Synthetic St, Athens",Athens,2025-07-22,11:00,,134.0,Deep cleaning required for office in Athens,25.0,3.0,7,completed,5,"Average cleaning, met basic expectations.",2025-11-08 17:27:07,2025-11-08 17:27:07
149,1529,client_209@synthetic.test,Client209,Test,1187,cleaner_67@synthetic.test,Cleaner67,TestPremium,505,house,2840,37.90152228,23.70493156,"2 Synthetic St, Athens",Athens,2025-10-22,10:00,,135.0,Deep cleaning required for house in Athens,540.0,5.0,6,completed,9,Excellent service! Very thorough and professional.,2025-11-08 17:27:07,2025-11-08 17:27:07
150,1645,client_325@synthetic.test,Client325,Test,1186,cleaner_66@synthetic.test,Cleaner66,TestAverage,657,office,2736,37.98353303,23.8069451,"197 Synthetic St, Athens",Athens,2024-12-20,10:00,,137.0,Need thorough cleaning of 2736sqft office,235.0,6.0,4,completed,7,"Quality work, would use again.",2025-11-08 17:27:07,2025-11-08 17:27:07
151,1647,client_327@synthetic.test,Client327,Test,1173,cleaner_53@synthetic.test,Cleaner53,TestExperienced,662,office,1126,37.93188677,23.66832578,"160 Synthetic St, Athens",Athens,2024-11-26,11:00,,126.0,Regular cleaning service needed for 1126sqft space,90.0,5.0,5,completed,7,"Quality work, would use again.",2025-11-08 17:27:07,2025-11-08 17:27:07
153,1748,client_428@synthetic.test,Client428,Test,1259,cleaner_139@synthetic.test,Cleaner139,TestBudget,795,apartment,686,37.93890114,23.66286065,"184 Synthetic St, Athens",Athens,2025-04-22,11:00,,190.0,Need thorough cleaning of 686sqft apartment,15.0,1.0,4,completed,5,Got the job done but not exceptional.,2025-11-08 17:27:07,2025-11-08 17:27:07
154,1569,client_249@synthetic.test,Client249,Test,1281,cleaner_161@synthetic.test,Cleaner161,TestExperienced,557,office,1792,37.84600967,23.60749036,"162 Synthetic St, Athens",Athens,2025-02-23,14:00,,32.0,Deep cleaning required for office in Athens,245.0,5.0,8,completed,9,Outstanding work. Will definitely hire again!,2025-11-08 17:27:07,2025-11-08 17:27:07
155,1523,client_203@synthetic.test,Client203,Test,1215,cleaner_95@synthetic.test,Cleaner95,TestBudget,492,apartment,1070,38.01327775,23.7831526,"153 Synthetic St, Athens",Athens,2025-01-05,10:00,,85.0,Deep cleaning required for apartment in Athens,40.0,4.0,5,completed,6,Got the job done but not exceptional.,2025-11-08 17:27:07,2025-11-08 17:27:07
156,1492,client_172@synthetic.test,Client172,Test,1132,cleaner_12@synthetic.test,Cleaner12,TestPremium,454,house,1753,37.98971174,23.76705728,"127 Synthetic St, Athens",Athens,2024-12-13,15:00,,50.0,Need thorough cleaning of 1753sqft house,400.0,6.0,5,completed,10,Excellent service! Very thorough and professional.,2025-11-08 17:27:07,2025-11-08 17:27:07
157,1587,client_267@synthetic.test,Client267,Test,1262,cleaner_142@synthetic.test,Cleaner142,TestAverage,579,house,2415,38.05384289,23.7287649,"109 Synthetic St, Athens",Athens,2025-08-30,15:00,,105.0,Regular cleaning service needed for 2415sqft space,140.0,8.0,3,completed,7,"Quality work, would use again.",2025-11-08 17:27:07,2025-11-08 17:27:07
158,1462,client_142@synthetic.test,Client142,Test,1188,cleaner_68@synthetic.test,Cleaner68,TestPremium,412,house,1947,38.10092063,23.82195759,"8 Synthetic St, Athens",Athens,2025-01-31,12:00,,58.0,Regular cleaning service needed for 1947sqft space,330.0,8.0,3,completed,9,"Perfect cleaning, exceeded expectations.",2025-11-08 17:27:07,2025-11-08 17:27:07
159,1375,client_55@synthetic.test,Client55,Test,1190,cleaner_70@synthetic.test,Cleaner70,TestBudget,298,office,2765,38.08272944,23.85200269,"90 Synthetic St, Athens",Athens,2025-10-04,11:00,,98.0,Need thorough cleaning of 2765sqft office,215.0,7.0,3,completed,5,Got the job done but not exceptional.,2025-11-08 17:27:07,2025-11-08 17:27:07
160,1780,client_460@synthetic.test,Client460,Test,1272,cleaner_152@synthetic.test,Cleaner152,TestAverage,838,office,3432,37.96735303,23.61452468,"97 Synthetic St, Athens",Athens,2025-01-19,08:00,,73.0,Regular cleaning service needed for 3432sqft space,350.0,8.0,3,completed,7,"Good job overall, minor issues but satisfied.",2025-11-08 17:27:07,2025-11-08 17:27:07
161,1377,client_57@synthetic.test,Client57,Test,1309,cleaner_189@synthetic.test,Cleaner189,TestExperienced,300,apartment,1451,38.00138921,23.72845075,"88 Synthetic St, Athens",Athens,2025-10-25,16:00,,121.0,Regular cleaning service needed for 1451sqft space,105.0,6.0,3,completed,7,Professional and on time. Recommended.,2025-11-08 17:27:07,2025-11-08 17:27:07
162,1816,client_496@synthetic.test,Client496,Test,1123,cleaner_3@synthetic.test,Cleaner3,TestAverage,893,apartment,810,37.86332273,23.5989046,"10 Synthetic St, Athens",Athens,2025-07-21,10:00,,154.0,Deep cleaning required for apartment in Athens,35.0,3.0,3,completed,7,"Good job overall, minor issues but satisfied.",2025-11-08 17:27:07,2025-11-08 17:27:07
163,1815,client_495@synthetic.test,Client495,Test,1154,cleaner_34@synthetic.test,Cleaner34,TestExperienced,892,apartment,560,37.94152788,23.60222555,"129 Synthetic St, Athens",Athens,2025-03-21,12:00,,178.0,Regular cleaning service needed for 560sqft space,30.0,3.0,8,completed,9,"Perfect cleaning, exceeded expectations.",2025-11-08 17:27:07,2025-11-08 17:27:07
164,1629,client_309@synthetic.test,Client309,Test,1223,cleaner_103@synthetic.test,Cleaner103,TestExperienced,636,office,1454,38.06069202,23.61169002,"118 Synthetic St, Athens",Athens,2025-08-01,09:00,,143.0,Need thorough cleaning of 1454sqft office,100.0,4.0,3,completed,8,Professional and on time. Recommended.,2025-11-08 17:27:07,2025-11-08 17:27:07
165,1395,client_75@synthetic.test,Client75,Test,1233,cleaner_113@synthetic.test,Cleaner113,TestBudget,325,apartment,757,37.93912715,23.78137576,"156 Synthetic St, Athens",Athens,2025-04-02,15:00,,195.0,Need thorough cleaning of 757sqft apartment,15.0,3.0,8,completed,6,Acceptable service but room for improvement.,2025-11-08 17:27:07,2025-11-08 17:27:07
166,1420,client_100@synthetic.test,Client100,Test,1142,cleaner_22@synthetic.test,Cleaner22,TestAverage,362,apartment,1298,37.98015287,23.67252187,"143 Synthetic St, Athens",Athens,2025-07-17,15:00,,141.0,Regular cleaning service needed for 1298sqft space,90.0,4.0,4,completed,6,Got the job done but not exceptional.,2025-11-08 17:27:07,2025-11-08 17:27:07
167,1766,client_446@synthetic.test,Client446,Test,1128,cleaner_8@synthetic.test,Cleaner8,TestExperienced,819,apartment,1234,37.88860068,23.80799141,"40 Synthetic St, Athens",Athens,2025-04-04,09:00,,179.0,Regular cleaning service needed for 1234sqft space,135.0,5.0,5,completed,9,Outstanding work. Will definitely hire again!,2025-11-08 17:27:07,2025-11-08 17:27:07
168,1346,client_26@synthetic.test,Client26,Test,1231,cleaner_111@synthetic.test,Cleaner111,TestPremium,265,house,2916,38.02990259,23.68708903,"168 Synthetic St, Athens",Athens,2025-05-20,10:00,,120.0,Deep cleaning required for house in Athens,580.0,5.0,5,completed,9,Excellent service! Very thorough and professional.,2025-11-08 17:27:07,2025-11-08 17:27:07
169,1463,client_143@synthetic.test,Client143,Test,1232,cleaner_112@synthetic.test,Cleaner112,TestExperienced,413,house,2932,38.10295259,23.77457953,"23 Synthetic St, Athens",Athens,2025-02-20,10:00,,61.0,Regular cleaning service needed for 2932sqft space,335.0,7.0,8,completed,9,Excellent service! Very thorough and professional.,2025-11-08 17:27:07,2025-11-08 17:27:07
170,1748,client_428@synthetic.test,Client428,Test,1262,cleaner_142@synthetic.test,Cleaner142,TestAverage,796,office,4730,37.94709972,23.7987537,"27 Synthetic St, Athens",Athens,2025-02-07,15:00,,39.0,Deep cleaning required for office in Athens,355.0,7.0,6,completed,7,"Good job overall, minor issues but satisfied.",2025-11-08 17:27:07,2025-11-08 17:27:07
172,1665,client_345@synthetic.test,Client345,Test,1317,cleaner_197@synthetic.test,Cleaner197,TestAverage,684,office,2244,38.04479949,23.83631294,"148 Synthetic St, Athens",Athens,2025-09-14,12:00,,159.0,Deep cleaning required for office in Athens,210.0,8.0,7,completed,7,"Good job overall, minor issues but satisfied.",2025-11-08 17:27:07,2025-11-08 17:27:07
173,1466,client_146@synthetic.test,Client146,Test,1145,cleaner_25@synthetic.test,Cleaner25,TestBudget,418,office,1692,37.99368846,23.79333215,"48 Synthetic St, Athens",Athens,2025-05-23,13:00,,101.0,Need thorough cleaning of 1692sqft office,150.0,5.0,7,completed,5,"Average cleaning, met basic expectations.",2025-11-08 17:27:07,2025-11-08 17:27:07
174,1805,client_485@synthetic.test,Client485,Test,1158,cleaner_38@synthetic.test,Cleaner38,TestAverage,877,apartment,1093,38.08323372,23.61867306,"168 Synthetic St, Athens",Athens,2025-09-25,08:00,,80.0,Need thorough cleaning of 1093sqft apartment,55.0,4.0,6,completed,8,Professional and on time. Recommended.,2025-11-08 17:27:07,2025-11-08 17:27:07
175,1579,client_259@synthetic.test,Client259,Test,1188,cleaner_68@synthetic.test,Cleaner68,TestPremium,570,apartment,550,38.05512436,23.83846589,"97 Synthetic St, Athens",Athens,2025-06-05,08:00,,143.0,Regular cleaning service needed for 550sqft space,30.0,4.0,6,completed,9,Outstanding work. Will definitely hire again!,2025-11-08 17:27:07,2025-11-08 17:27:07
